City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,pitimbu,-7.4706,-34.8086,25.33,84,19,4.78,BR,1691532585
148,mboursou lere,9.7639,14.1539,23.81,85,93,1.35,TD,1691532585
149,tahe,52.3333,124.7333,13.85,96,100,0.91,CN,1691532585
150,farmington,36.7281,-108.2187,32.89,73,40,4.63,US,1691532361
151,ghat,24.9647,10.1728,34.62,22,55,7.64,LY,1691532586
152,porto velho,-8.7619,-63.9039,24.03,94,20,0.0,BR,1691532587
153,al muwayh,22.4333,41.7583,28.37,17,22,4.94,SA,1691532587
154,la passe,45.5549,-0.8967,18.88,64,17,3.73,FR,1691532588
155,karratha,-20.7377,116.8463,20.55,38,0,3.86,AU,1691532405
156,christchurch,-43.5333,172.6333,6.85,69,17,2.06,NZ,1691532136
157,oriximina,-1.7656,-55.8661,31.07,45,95,1.79,BR,1691532418
158,akureyri,65.6835,-18.0878,11.96,62,0,4.63,IS,1691532099
159,beltran,-27.8291,-64.061,15.73,46,52,3.11,AR,1691532590
160,carnarvon,-24.8667,113.6333,17.1,84,5,6.54,AU,1691532365
161,nova olinda do norte,-3.8881,-59.0942,32.41,37,92,0.64,BR,1691532405
162,sitka,57.0531,-135.33,15.94,77,100,1.54,US,1691532380
163,porto novo,6.4965,2.6036,24.68,88,22,3.61,BJ,1691532344
164,lihue,21.9789,-159.3672,33.58,67,100,8.23,US,1691532420
165,arenapolis,-14.4503,-56.8461,32.4,27,32,1.09,BR,1691532593
166,margaret river,-33.95,115.0667,10.91,64,5,3.24,AU,1691532110
167,mbandaka,0.0487,18.2603,21.7,92,49,1.2,CD,1691532593
168,lautoka,-17.6167,177.4667,26.92,61,20,2.57,FJ,1691532594
169,athens,37.9795,23.7162,27.59,60,75,4.92,GR,1691532002
170,georgetown,5.4112,100.3354,26.08,93,20,1.54,MY,1691532346
171,san felice circeo,41.2372,13.0942,21.99,99,3,4.36,IT,1691532595
172,new norfolk,-42.7826,147.0587,2.73,95,41,1.39,AU,1691532102
173,lesnoy,57.6198,63.0784,15.21,75,1,1.53,RU,1691532596
174,adh dhayd,25.2881,55.8816,32.4,52,76,2.85,AE,1691532596
175,cukai,4.25,103.4167,25.19,91,84,2.09,MY,1691532597
176,hola,51.5377,23.1902,13.1,72,44,2.89,PL,1691532597
177,hafar al-batin,28.4328,45.9708,32.13,11,0,4.09,SA,1691532599
178,kargasok,59.0556,80.8572,14.29,72,95,2.95,RU,1691532599
179,sept-iles,50.2001,-66.3821,15.59,94,100,3.58,CA,1691532600
180,san rafael,-34.6177,-68.3301,15.73,22,6,3.72,AR,1691532469
181,hawera,-39.5917,174.2833,8.79,75,87,2.51,NZ,1691532600
182,hawaiian paradise park,19.5933,-154.9731,28.74,72,20,4.12,US,1691532245
183,tanumah,27.1,44.1333,30.62,10,0,3.74,SA,1691532602
184,ust'-ilimsk,58.0006,102.6619,14.65,97,2,0.58,RU,1691532603
185,bamboo flat,11.7,92.7167,27.68,84,100,7.74,IN,1691532603
186,ulan bator,47.9077,106.8832,19.07,59,40,1.0,MN,1691532604
187,flin flon,54.7682,-101.865,11.62,75,100,4.28,CA,1691532605
188,huarmey,-10.0681,-78.1522,21.47,74,5,5.32,PE,1691532605
189,alice springs,-23.7,133.8833,8.75,66,0,2.57,AU,1691532361
190,holualoa,19.6228,-155.9522,29.91,60,0,6.69,US,1691532317
191,quelimane,-17.8786,36.8883,18.4,85,0,1.73,MZ,1691532607
192,porto seguro,-16.4497,-39.0647,24.29,83,40,3.6,BR,1691532607
193,karbala,32.616,44.0249,36.94,22,0,7.52,IQ,1691532608
194,benguela,-12.5763,13.4055,19.78,88,3,1.86,AO,1691532608
195,magadan,59.5667,150.8,11.41,58,11,0.94,RU,1691532609
196,santa cruz,-17.8,-63.1667,28.96,32,0,3.98,BO,1691532545
197,kruisfontein,-34.0033,24.7314,13.27,88,90,0.3,ZA,1691532360
198,mineral wells,32.8085,-98.1128,42.11,23,40,5.66,US,1691532452
199,port alfred,-33.5906,26.891,14.54,97,81,3.17,ZA,1691532348
200,thinadhoo,0.5333,72.9333,27.33,75,100,0.89,MV,1691532611
201,nishinoomote,30.7333,131.0,27.25,90,100,21.79,JP,1691532611
202,nuuk,64.1835,-51.7216,7.71,81,20,2.57,GL,1691532304
203,gargzdai,55.7128,21.4033,12.88,88,86,5.09,LT,1691532613
204,guayaramerin,-10.8368,-65.3614,33.16,32,65,1.1,BO,1691532613
205,babolsar,36.7025,52.6576,27.68,71,1,0.57,IR,1691532614
206,mazagao,-0.115,-51.2894,30.03,81,78,2.86,BR,1691532614
207,nadym,65.5333,72.5167,11.48,80,100,8.21,RU,1691532584
208,rio grande,-32.035,-52.0986,14.41,74,90,7.04,BR,1691532366
209,ngaoundere,7.3167,13.5833,18.12,98,100,1.53,CM,1691532616
210,fort bragg,35.139,-79.006,32.75,51,0,4.12,US,1691532359
211,coronel dorrego,-38.7187,-61.2873,9.04,47,62,5.4,AR,1691532617
212,qamdo,31.1667,97.2333,5.71,83,70,1.85,CN,1691532323
213,san patricio,28.017,-97.5169,38.4,48,0,8.97,US,1691532331
214,aksu,41.1231,80.2644,25.5,36,16,3.27,CN,1691532618
215,qala i naw,34.9874,63.1289,25.19,27,0,1.64,AF,1691532619
216,mana,5.6592,-53.7767,26.19,85,89,3.91,GF,1691532402
217,porlamar,10.958,-63.8491,29.07,76,6,4.34,VE,1691532620
218,dalbandin,28.8947,64.4101,29.78,14,0,3.07,PK,1691532620
219,paradip garh,20.3167,86.6167,27.76,74,100,3.78,IN,1691532372
220,jamestown,42.097,-79.2353,23.9,68,0,8.75,US,1691532385
221,vila franca do campo,37.7167,-25.4333,23.23,86,21,2.26,PT,1691532365
222,tangalle,6.024,80.7911,26.09,88,100,4.24,LK,1691532619
223,paraipaba,-3.4394,-39.1483,25.26,80,59,5.84,BR,1691532622
224,shizuishan,39.2333,106.7694,25.75,62,86,6.41,CN,1691532623
225,lorengau,-2.0226,147.2712,27.47,79,95,6.97,PG,1691532356
226,hithadhoo,-0.6,73.0833,27.36,75,100,2.26,MV,1691532412
227,konskie,51.1917,20.4061,13.39,88,74,2.82,PL,1691532624
228,mount pearl,47.5166,-52.7813,15.18,83,75,3.6,CA,1691532371
229,coquimbo,-29.9533,-71.3436,14.85,77,75,1.03,CL,1691532348
230,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1691532626
231,montecristo,8.2971,-74.4733,32.98,66,95,1.3,CO,1691532626
232,pursat,12.3333,103.6667,24.04,83,56,1.67,KH,1691532627
233,coari,-4.085,-63.1414,31.81,42,80,0.47,BR,1691532627
234,togur,58.3631,82.8265,10.58,88,49,2.57,RU,1691532628
235,choibalsan,48.0667,114.5,14.27,82,99,1.09,MN,1691532628
236,sarikei,2.1167,111.5167,22.84,99,79,0.4,MY,1691532628
237,oyo,7.85,3.9333,21.84,97,77,3.05,NG,1691532629
238,dauphin,51.1494,-100.0502,20.79,43,84,6.12,CA,1691532629
239,nakamura,32.9833,132.9333,26.62,96,100,6.74,JP,1691532630
240,ciutadella,40.0011,3.8414,24.45,64,0,3.1,ES,1691532630
241,pakse,15.1167,105.7833,23.12,96,58,0.83,LA,1691532631
242,liuhe,42.2401,125.7172,19.02,94,77,1.02,CN,1691532631
243,geraldton,-28.7667,114.6,11.23,93,75,1.54,AU,1691532333
244,phulbani,20.4667,84.2333,22.38,88,98,1.89,IN,1691532632
245,delijan,33.9905,50.6838,24.11,46,87,3.52,IR,1691532633
246,kapa'a,22.0752,-159.319,33.99,74,100,8.23,US,1691532385
247,heroica guaymas,27.9333,-110.9,41.05,53,20,10.29,MX,1691532634
248,ashland,40.8167,-82.2665,25.71,81,74,4.84,US,1691532502
249,al kharijah,25.4514,30.5464,34.87,28,1,7.6,EG,1691532635
250,springbok,-29.6643,17.8865,11.84,52,0,3.32,ZA,1691532636
251,al wajh,26.2455,36.4525,31.64,56,0,4.26,SA,1691532636
252,nuevitas,21.5453,-77.2644,30.36,75,82,6.07,CU,1691532637
253,longyearbyen,78.2186,15.6401,8.91,71,0,4.12,SJ,1691532344
254,kodiak,57.79,-152.4072,12.73,94,75,2.06,US,1691532247
255,bafq,31.6128,55.4107,30.65,20,77,5.98,IR,1691532638
256,inari,68.906,27.0288,20.11,92,2,1.29,FI,1691532638
